;customer_answer;pv_pai;Flag Atraso Transporte2_soma;Flag Atraso Fornecedor3_soma;Flag Atraso Coleta4_soma;Flag Atraso Cliente5_soma;[FLAG]Erro prazo transporte validacao_soma;[FLAG]Cross_soma;[FLAG]Atraso_criacao_OC_soma;[FLAG]Reprogramacao_OC_soma;[FLAG]Atraso Fornecedor_soma;[FLAG] Pratica_indevida_soma;[FLAG] Sac_pos_entrega_soma;[FLAG] Reversa_soma;[FLAG] Mais de uma entrega_soma;[FLAG]Importacao WMS_soma;[FLAG] Recompra_soma;[FLAG] Entrega_Mista_soma;[FLAG] Virada_Faturamento_soma;[FLAG] Atraso limite_soma;[FLAG] Oc sem bip_soma;[FLAG] Insucesso_soma;[FLAG] End. N.Localizado/Ausente_soma;[FLAG] Tempo Habil_soma;[FLAG] Atraso Redespacho_soma;[FLAG] Diarias_soma;[FLAG] Atraso Coletas_soma;[FLAG] Leves_soma;[FLAG] Atraso CD_soma;detrator;neutro;promotor
12;10;28034378;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;4;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
13;10;28236032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
14;10;28362346;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;1;0.0;0;1.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
15;10;28065414;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
16;10;28280691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
17;10;28196282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;1;0.0;0;1.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
18;10;27891766;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
19;10;27964775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
20;10;28135290;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
21;10;27660989;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0.0;2;0.0;2;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;2;0;0;1
22;10;28140271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
23;10;27672516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
24;10;28006354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
25;10;27069400;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;1;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
26;10;28076677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
27;10;27805193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;3;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;2;0;0;1
28;10;28045497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;1
