index;customer_answer;pv_pai;Flag Atraso Cliente5_soma;[FLAG] Pratica_indevida_soma;[FLAG] Sac_pos_entrega_soma;[FLAG] Reversa_soma;[FLAG] Recompra_soma;[FLAG] Insucesso_soma;[FLAG] Mais de uma entrega_soma;2;1
47;10;28433241;0;0;0;0;0;0;1;FALSO;0
48;10;27949467;0;0;0;0;0;0;0;FALSO;0
49;10;27948778;0;0;0;0;0;0;3;FALSO;0
50;10;28276082;0;0;0;0;0;0;0;FALSO;0
51;10;28311678;0;0;0;0;0;0;0;FALSO;0
52;10;28367593;0;0;0;0;0;0;2;FALSO;0
53;10;27293590;0;0;0;0;0;0;0;FALSO;0
54;10;28207227;0;0;0;0;0;0;0;FALSO;0
55;10;28287272;0;0;0;0;0;0;0;FALSO;0
56;10;28179495;0;0;0;0;0;0;0;FALSO;0
57;10;27706512;0;0;0;0;0;0;0;FALSO;0
58;10;28042767;0;0;0;0;0;0;0;FALSO;0
59;10;28013966;0;0;0;0;0;0;0;FALSO;0
60;10;28098472;0;0;0;0;0;0;0;FALSO;0
61;10;27972787;0;0;0;0;0;0;0;FALSO;0
62;10;27969302;0;0;0;0;0;0;0;FALSO;0
63;10;28160224;0;0;0;0;0;0;2;FALSO;0
64;10;27974561;0;0;0;0;0;0;0;FALSO;0
65;10;27955171;0;0;0;0;0;0;1;FALSO;0
66;10;28190408;0;0;0;0;0;0;2;FALSO;0
67;10;28119462;0;0;0;0;0;0;2;FALSO;0
68;10;28197788;0;0;0;0;0;0;0;FALSO;0
69;10;28138738;0;0;0;0;0;0;0;FALSO;0
70;10;28123316;0;0;0;0;0;0;2;FALSO;0
71;10;28046292;0;0;0;0;0;0;0;FALSO;0
72;10;28029742;0;0;0;0;0;0;0;FALSO;0
73;10;28133796;0;0;0;0;0;0;2;FALSO;0
74;10;28326307;0;0;0;0;0;0;0;FALSO;0
75;10;27989865;0;0;0;0;0;0;0;FALSO;0
76;10;28094413;0;0;0;0;0;0;0;FALSO;0
77;10;28078979;0;0;0;0;0;0;0;FALSO;0
78;10;28288584;0;0;0;0;0;0;1;FALSO;0
79;10;27540491;0;0;0;0;0;0;0;FALSO;0
80;10;27792131;0;0;0;0;0;0;2;FALSO;0
81;10;28253306;0;0;0;0;0;0;0;FALSO;0
82;10;28227732;0;0;0;0;0;0;0;FALSO;0
83;10;28065695;0;0;0;0;0;0;0;FALSO;0
84;10;28283943;0;0;0;0;0;0;0;FALSO;0
85;10;27992838;0;0;0;0;0;0;0;FALSO;0
86;10;28045070;0;0;0;0;0;0;1;FALSO;0
87;10;28132013;0;0;0;0;0;0;2;FALSO;0
88;10;27952075;0;0;0;0;0;0;2;FALSO;0
89;10;28041048;0;0;0;0;0;0;0;FALSO;0
90;10;28127332;0;0;0;0;0;0;0;FALSO;0
91;10;28190905;0;0;0;0;0;0;4;FALSO;0
92;10;28049792;0;0;0;0;0;0;0;FALSO;0
93;10;27800580;0;0;0;0;0;0;0;FALSO;0
94;10;28219549;0;0;0;0;0;0;0;FALSO;0
95;10;28203516;0;0;0;0;0;0;2;FALSO;0
96;10;28222664;0;0;0;0;0;0;0;FALSO;0
97;10;28062453;0;0;0;0;0;0;0;FALSO;0
98;10;28089259;0;0;0;0;0;0;0;FALSO;0
99;10;28047580;0;0;0;0;0;0;0;FALSO;0
100;10;28039271;0;0;0;0;0;0;0;FALSO;0
101;10;28091032;0;0;0;0;0;0;0;FALSO;0
102;10;27915872;0;0;0;0;0;0;3;FALSO;0
103;10;28070866;0;0;0;0;0;0;0;FALSO;0
104;10;28056530;0;0;0;0;0;0;0;FALSO;0
105;10;27916769;0;0;0;0;0;0;0;FALSO;0
106;10;28077882;0;0;0;0;0;0;0;FALSO;0
107;10;28180797;0;0;0;0;0;0;0;FALSO;0
108;10;28009541;0;0;0;0;0;0;0;FALSO;0
109;10;28187329;0;0;0;0;0;0;0;FALSO;0
110;10;27309635;0;0;0;0;0;0;0;FALSO;0
111;10;27889396;0;0;0;0;0;0;1;FALSO;0
112;10;27648494;0;0;0;0;0;0;0;FALSO;0
113;10;27861836;0;0;0;0;0;0;0;FALSO;0
114;10;27653381;0;0;0;0;0;0;0;FALSO;0
