RESUMO DOS RESULTADOS;;;;;;;;
;;;;;;;;
Estatística de regressão;;;;;;;;
R múltiplo;0,810222469;;;;;;;
R-Quadrado;0,656460449;;;;;;;
R-quadrado ajustado;0,656306476;;;;;;;
Erro padrão;0,375670751;;;;;;;
Observações;13394;;;;;;;
;;;;;;;;
ANOVA;;;;;;;;
;gl;SQ;MQ;F;F de significação;;;
Regressão;6;3610,18826;601,6980433;4263,476113;0;;;
Resíduo;13387;1889,287401;0,141128513;;;;;
Total;13393;5499,475661;;;;;;
;;;;;;;;
;Coeficientes;Erro padrão;Stat t;valor-P;95% inferiores;95% superiores;Inferior 95,0%;Superior 95,0%
Interseção;9,859622356;0,003430022;2874,506619;0,00%;9,852899028;9,866345685;9,852899028;9,866345685
Flag Atraso Cliente5_soma;-0,062604937;0,007846827;-7,978376596;0,00%;-0,077985825;-0,047224049;-0,077985825;-0,047224049
[FLAG] Pratica_indevida_soma;-5,757122673;0,08896077;-64,71529748;0,00%;-5,931498343;-5,582747002;-5,931498343;-5,582747002
[FLAG] Sac_pos_entrega_soma;-0,435730615;0,028011245;-15,55556017;0,00%;-0,490636611;-0,380824618;-0,490636611;-0,380824618
[FLAG] Reversa_soma;-3,256336459;0,047674276;-68,30384745;0,00%;-3,349784772;-3,162888147;-3,349784772;-3,162888147
[FLAG] Recompra_soma;-1,925591311;0,0252804;-76,1693359;0,00%;-1,975144465;-1,876038156;-1,975144465;-1,876038156
[FLAG] Insucesso_soma;-0,018849438;0,009593672;-1,964778317;4,95%;-0,037654389;-4,44869E-05;-0,037654389;-4,44869E-05
;;;;;;;;
;;;;;;;;
;;;;;;;;
RESULTADOS DE RESÍDUOS;;;;;;;;
;;;;;;;;
128;9,859622356;0,140377644;0,373755738;;;;;
129;9,859622356;0,140377644;0,373755738;;;;;
130;9,859622356;0,140377644;0,373755738;;;;;
131;9,859622356;0,140377644;0,373755738;;;;;
132;9,859622356;0,140377644;0,373755738;;;;;
133;9,859622356;0,140377644;0,373755738;;;;;
134;9,859622356;0,140377644;0,373755738;;;;;
135;9,859622356;0,140377644;0,373755738;;;;;
136;9,859622356;0,140377644;0,373755738;;;;;
137;9,859622356;0,140377644;0,373755738;;;;;
138;9,859622356;0,140377644;0,373755738;;;;;
139;9,859622356;0,140377644;0,373755738;;;;;
140;9,859622356;0,140377644;0,373755738;;;;;
141;9,859622356;0,140377644;0,373755738;;;;;
142;9,859622356;0,140377644;0,373755738;;;;;
143;9,859622356;0,140377644;0,373755738;;;;;
144;9,859622356;0,140377644;0,373755738;;;;;
145;9,859622356;0,140377644;0,373755738;;;;;
146;9,859622356;0,140377644;0,373755738;;;;;
147;9,859622356;0,140377644;0,373755738;;;;;
148;9,859622356;0,140377644;0,373755738;;;;;
149;9,859622356;0,140377644;0,373755738;;;;;
150;9,859622356;0,140377644;0,373755738;;;;;
151;9,859622356;0,140377644;0,373755738;;;;;
152;9,859622356;0,140377644;0,373755738;;;;;
153;9,859622356;0,140377644;0,373755738;;;;;
154;9,859622356;0,140377644;0,373755738;;;;;
155;9,859622356;0,140377644;0,373755738;;;;;
156;9,859622356;0,140377644;0,373755738;;;;;
157;9,859622356;0,140377644;0,373755738;;;;;
158;9,859622356;0,140377644;0,373755738;;;;;
159;9,859622356;0,140377644;0,373755738;;;;;
160;9,859622356;0,140377644;0,373755738;;;;;
161;9,859622356;0,140377644;0,373755738;;;;;
